Sales_id,Sales,Quantity,Discount,Profit,Ship_id,Product_id,Customer_id
1,261.96,2,0.0,41.9136,1,1,1
2,731.94,3,0.0,219.582,2,2,2
3,14.62,2,0.0,6.8714,3,3,3
4,957.5775,5,0.45,-383.031,4,4,4
5,22.368,2,0.2,2.5164,5,5,5
6,48.86,7,0.0,14.1694,6,6,6
7,7.28,4,0.0,1.9656,7,7,7
8,907.152,6,0.2,90.7152,8,8,8
9,18.504,3,0.2,5.7825,9,9,9
10,114.9,5,0.0,34.47,10,10,10
11,1706.184,9,0.2,85.3092,11,11,11
12,911.424,4,0.2,68.3568,12,12,12
13,15.552,3,0.2,5.4432,13,13,13
14,407.976,3,0.2,132.5922,14,14,14
15,68.81,5,0.8,-123.858,15,15,15
16,2.544,3,0.8,-3.816,16,16,16
17,665.88,6,0.0,13.3176,17,17,17
18,55.5,2,0.0,9.99,18,18,18
19,8.56,2,0.0,2.4824,19,19,19
20,213.48,3,0.2,16.011,20,20,20
21,22.72,4,0.2,7.384,21,21,21
22,19.46,7,0.0,5.0596,22,22,22
23,60.34,7,0.0,15.6884,23,23,23
24,71.372,2,0.3,-1.0196,24,24,24
25,1044.63,3,0.0,240.2649,25,25,25
26,11.648,2,0.2,4.2224,26,26,26
27,90.57,3,0.0,11.7741,27,27,27
28,3083.43,7,0.5,-1665.0522,28,28,28
29,9.618,2,0.7,-7.0532,29,29,29
30,124.2,3,0.2,15.525,30,30,30
31,3.264,2,0.2,1.1016,31,31,31
32,86.304,6,0.2,9.7092,32,32,32
33,6.858,6,0.7,-5.715,33,33,33
34,15.76,2,0.2,3.546,34,34,34
35,29.472,3,0.2,9.9468,35,35,35
36,1097.544,7,0.2,123.4737,36,36,36
37,190.92,5,0.6,-147.963,37,37,37
38,113.328,9,0.2,35.415,38,38,38
39,532.3992,3,0.32,-46.9764,39,39,39
40,212.058,3,0.3,-15.147,40,40,40
41,371.168,4,0.2,41.7564,41,41,41
42,147.168,4,0.2,16.5564,42,42,42
43,77.88,2,0.0,3.894,43,43,43
44,95.616,2,0.2,9.5616,44,44,44
45,45.98,2,0.0,19.7714,45,45,45
46,17.46,2,0.0,8.2062,46,46,46
47,211.96,4,0.0,8.4784,47,47,47
48,45.0,3,0.0,4.95,48,48,48
49,21.8,2,0.0,6.104,49,49,49
50,38.22,6,0.0,17.9634,50,50,50
51,75.18,6,0.0,35.3346,51,51,51
52,6.16,2,0.0,2.9568,52,52,52
53,89.99,1,0.0,17.0981,53,53,53
54,15.26,7,0.0,6.2566,54,54,54
55,1029.95,5,0.0,298.6855,55,55,55
56,208.56,6,0.0,52.14,56,56,56
57,32.4,5,0.0,15.552,57,57,57
58,319.41,5,0.1,7.098,58,58,58
59,14.56,2,0.0,6.9888,59,59,59
60,30.0,2,0.0,3.3,60,60,60
61,48.48,4,0.2,16.362,61,61,61
62,1.68,1,0.0,0.84,62,62,62
63,13.98,2,0.0,6.1512,63,63,63
64,25.824,6,0.2,9.3612,64,64,64
65,146.73,3,0.0,68.9631,65,65,65
66,79.76,4,0.0,22.3328,66,66,66
67,213.115,5,0.3,-15.2225,67,67,67
68,1113.024,8,0.2,111.3024,68,68,68
69,167.968,4,0.2,62.988,69,69,69
70,75.88,2,0.0,35.6636,70,70,70
71,4.616,1,0.2,1.731,71,71,71
72,19.05,3,0.0,8.763,72,72,72
73,831.936,8,0.2,-114.3912,73,73,73
74,97.04,2,0.2,1.213,74,74,74
75,72.784,1,0.2,-18.196,75,75,75
76,1.248,3,0.8,-1.9344,76,76,76
77,9.708,3,0.6,-5.8248,77,77,77
78,27.24,3,0.2,2.724,78,78,78
79,19.3,5,0.6,-14.475,79,79,79
80,208.16,1,0.0,56.2032,80,80,80
81,16.74,3,0.0,8.0352,81,81,81
82,14.9,5,0.0,4.172,82,82,82
83,21.39,1,0.0,6.2031,83,83,83
84,200.984,7,0.2,62.8075,84,84,84
85,230.376,3,0.2,-48.9549,85,85,85
86,301.96,2,0.0,33.2156,86,86,86
87,19.99,1,0.0,6.7966,87,87,87
88,6.16,2,0.0,2.9568,88,88,88
89,158.368,7,0.2,13.8572,89,89,89
90,20.1,3,0.0,6.633,90,90,90
91,73.584,2,0.2,8.2782,91,91,91
92,6.48,1,0.0,3.1104,92,92,92
93,12.96,2,0.0,6.2208,93,93,93
94,53.34,3,0.0,16.5354,94,94,94
95,32.96,2,0.0,16.1504,95,95,95
96,5.682,1,0.7,-3.788,96,96,96
97,96.53,7,0.0,40.5426,97,97,97
98,51.312,3,0.2,17.9592,98,98,98
99,77.88,6,0.0,22.5852,99,99,99
100,64.624,7,0.2,22.6184,100,100,100
101,95.976,3,0.2,-10.7973,101,101,101
102,1.788,3,0.8,-3.0396,102,102,102
103,23.92,4,0.0,11.7208,103,103,103
104,238.896,6,0.2,-26.8758,104,104,104
105,102.36,3,0.2,-3.8385,105,105,105
106,36.882,3,0.7,-25.8174,106,106,106
107,74.112,8,0.2,17.6016,107,107,107
108,27.992,1,0.2,2.0994,108,108,108
109,3.304,1,0.2,1.0738,109,109,109
110,339.96,5,0.2,67.992,110,110,110
111,41.96,2,0.0,10.9096,111,111,111
112,75.96,2,0.0,22.788,112,112,112
113,27.24,6,0.0,13.3476,113,113,113
114,40.096,14,0.2,14.5348,114,114,114
115,4.72,2,0.2,1.652,115,115,115
116,23.976,3,0.2,7.4925,116,116,116
117,130.464,6,0.2,44.0316,117,117,117
118,787.53,3,0.0,165.3813,118,118,118
119,157.794,1,0.7,-115.7156,119,119,119
120,47.04,3,0.0,18.3456,120,120,120
121,30.84,4,0.0,13.878,121,121,121
122,226.56,6,0.0,63.4368,122,122,122
123,115.02,9,0.0,51.759,123,123,123
